,user_id,direction_list
0,365,"['SS 13.0 , SW 7.0 , SE 6.0 , SW 6.0 , SE 6.0 , SW 7.0 , PageChange SE 5.0 , SS 7.0 , SW 7.0 , SE 5.0 , SE 7.0 , SW 6.0 , SE 7.0 , SE 7.0 , SW 5.0 , PageChange SE 6.0 , SE 7.0 , SW 6.0 , SE 6.0 , SW 6.0 , SS 7.0 , SE 6.0 , SW 12.0 , PageChange SW 6.0 , SW 6.0 , SW 5.0 , SE 14.0 , SW 6.0 , SE 6.0 , SW 6.0 , SW 7.0 , PageChange SE 5.0 , SS 6.0 , SW 6.0 , NE 12.0 , SW 8.0 , SW 8.0 , SE 7.0 , NW 19.0 , SW 6.0 , SE 6.0 , SW 7.0 , SW 6.0 , SE 8.0 , SS 6.0 , SE 8.0 , PageChange SW 5.0 , SE 6.0 , SW 8.0 , SE 6.0 , SW 7.0 , SE 6.0 , SS 6.0 , SW 8.0 , SW 8.0 , PageChange SW 5.0 , SW 8.0 , SE 7.0 , SW 6.0 , SE 7.0 , SE 8.0 , SW 6.0 , SS 13.0 , PageChange SE 6.0 , SW 6.0 , SE 6.0 , SW 1.0 , SE 7.0 , SE 6.0 , SW 6.0 , SW 7.0 , SE 6.0 , SS 8.0 , PageChange SS 13.0 , SE 6.0 , SW 7.0 , SE 8.0 , SE 6.0 , SW 7.0 , SS 6.0 , SW 6.0 , PageChange SW 6.0 , SE 8.0 , SW 7.0 , SE 7.0 , SW 9.0 , SE 6.0 , SW 6.0 , SE 8.0 , SE 9.0 , PageChange SS 5.0 , SE 7.0 , SW 7.0 , SE 7.0 , SW 6.0 , SE 7.0 , SW 7.0 , PageChange NE 54.0 , SW 54.0 , SW 6.0 , SE 7.0 , SW 6.0 , SW 6.0 , SE 7.0 , SE 6.0 , NE 67.0 , SW 13.0 , SS 6.0 , SS 7.0 , SE 12.0 , PageChange SW 7.0 , SE 6.0 , SW 6.0 , SE 6.0 , SW 6.0 , SW 7.0 , SW 6.0 , SE 8.0 , SE 6.0 , NE 79.0 , SW 6.0 , SE 6.0 , SW 7.0 , SE 5.0 , SS 8.0 , SE 12.0 , SW 8.0 , SE 6.0 , PageChange SS 6.0 , SS 7.0 , SW 7.0 , SS 6.0 , SW 6.0 , SS 6.0 , SS 13.0 , SS 6.0 , NE 79.0 , SW 5.0 , SE 13.0 , SW 6.0 , SW 6.0 , SE 7.0 , SW 6.0 , SW 6.0 , SW 7.0 , PageChange SE 12.0 , SS 6.0 , SE 7.0 , SW 6.0 , SE 6.0 , SS 7.0 , SE 7.0 , SW 6.0 , NE 80.0 , SS 6.0 , SW 7.0 , SE 7.0 , SE 5.0 , SW 6.0 , SW 6.0 , SE 7.0 , SW 6.0 , SW 6.0 , PageChange SW 6.0 , SS 7.0 , SE 6.0 , WW 1.0 , NE 57.0 , SE 6.0 , SW 7.0 , SW 5.0 ,']"
1,371,"['PageChange SE 25.0 , PageChange NW 0.0 , SW 1.0 , SE 6.0 , SE 22.0 , SE 7.0 , NW 25.0 , SE 7.0 , SE 8.0 , SE 7.0 , SE 9.0 , SW 8.0 , SW 8.0 , SW 8.0 , PageChange SE 14.0 , SW 7.0 , SW 7.0 , SE 12.0 , SE 9.0 , SE 8.0 , SW 7.0 , SW 8.0 , PageChange SE 8.0 , SE 9.0 , SE 7.0 , SE 8.0 , SW 7.0 , SW 10.0 , SW 7.0 , SW 8.0 , SE 7.0 , PageChange SE 8.0 , SE 8.0 , SE 6.0 , SE 9.0 , SW 7.0 , SW 8.0 , SW 8.0 , SW 6.0 , SE 9.0 , PageChange SE 7.0 , SE 7.0 , SE 8.0 , SE 7.0 , SW 10.0 , SW 16.0 , SW 7.0 , SE 8.0 , PageChange SE 7.0 , SE 9.0 , SE 8.0 , SE 8.0 , SW 11.0 , SW 7.0 , SW 14.0 , SE 9.0 , PageChange SE 8.0 , NW 7.0 , SE 15.0 , SE 8.0 , SE 8.0 , SW 7.0 , SW 10.0 , SW 8.0 , PageChange SE 7.0 , SE 9.0 , SW 6.0 , SE 5.0 , SE 8.0 , SE 15.0 , SE 5.0 , NE 52.0 , PageChange SE 60.0 , SW 26.0 , EE 26.0 , SW 5.0 , SE 1.0 , NW 35.0 , SE 41.0 , PageChange SE 100.0 , NW 31.0 , NW 19.0 , PageChange SE 31.0 , PageChange SE 56.0 ,']"
2,390,"['PageChange SW 5.0 , SE 58.0 , PageChange SE 1.0 , SE 12.0 , SE 6.0 , NW 12.0 , SW 7.0 , SE 10.0 , SS 6.0 , NW 20.0 , PageChange SE 6.0 , NW 6.0 , NE 1.0 , SW 1.0 , SW 58.0 , PageChange SE 2.0 , SW 46.0 , PageChange PageChange SE 69.0 , NW 8.0 , SE 22.0 , PageChange NE 46.0 , SW 51.0 , PageChange SE 50.0 , SW 56.0 , SE 63.0 , PageChange SE 52.0 ,']"
3,376,"['NE 4.0 , SW 4.0 , PageChange SW 34.0 , PageChange NW 1.0 , PageChange SE 8.0 , SW 4.0 , PageChange SW 0.0 , SW 5.0 , NE 4.0 , SW 4.0 , PageChange SE 8.0 , PageChange SE 1.0 , NE 1.0 , PageChange']"
4,374,"['SW 7.0 , SE 8.0 , SE 7.0 , SE 6.0 , SW 8.0 , SW 14.0 , PageChange SE 11.0 , NW 7.0 , SE 13.0 , SW 7.0 , SW 6.0 , SE 8.0 , SW 8.0 , SW 6.0 , SW 7.0 , NE 1.0 , PageChange SW 8.0 , SW 6.0 , SW 8.0 , SE 5.0 , SE 8.0 , SW 8.0 , SW 6.0 , SE 6.0 , SE 9.0 , PageChange SE 8.0 , SE 7.0 , SE 7.0 , SW 8.0 , SW 12.0 , SW 7.0 , SW 13.0 , PageChange SE 7.0 , SW 8.0 , NE 6.0 , SW 15.0 , SW 8.0 , NE 42.0 , SW 7.0 , SW 6.0 , SE 8.0 , SW 6.0 , SW 8.0 , SE 11.0 , SE 8.0 , NW 39.0 , SW 6.0 , SW 6.0 , SW 8.0 , SE 8.0 , NW 1.0 , SW 8.0 , SE 9.0 , SE 8.0 , PageChange SE 6.0 , SW 10.0 , SE 6.0 , SE 7.0 , SW 8.0 , SE 14.0 , SE 8.0 , SE 6.0 , PageChange SE 6.0 , SE 7.0 , SE 5.0 , SW 14.0 , SW 7.0 , SW 6.0 , SE 8.0 , PageChange SE 8.0 , SW 8.0 , SE 5.0 , SW 7.0 , SW 9.0 , SE 8.0 , SE 7.0 , SW 7.0 , SE 7.0 , PageChange SW 8.0 , SE 9.0 , SS 12.0 , SW 10.0 , SE 8.0 , SE 8.0 , SW 7.0 , SW 10.0 , PageChange SE 9.0 , SW 8.0 , SE 6.0 , SE 5.0 , SW 8.0 , SE 16.0 , PageChange SE 9.0 , SW 5.0 , SW 8.0 , SW 8.0 , SW 6.0 , SE 7.0 , NE 68.0 , SW 8.0 , SW 6.0 , SW 7.0 , SE 12.0 , SE 8.0 , SE 5.0 , NW 67.0 , SE 52.0 , NW 19.0 , SW 8.0 , SW 8.0 , SE 13.0 , SE 7.0 , SE 5.0 , SE 8.0 , SW 13.0 , PageChange SW 12.0 , SW 13.0 , SW 8.0 , SS 6.0 , SE 8.0 , SE 7.0 , SE 7.0 , PageChange SE 7.0 , SW 8.0 , SW 8.0 , SW 5.0 , SS 7.0 , SW 6.0 , SE 8.0 , SW 7.0 , SE 8.0 , NE 77.0 , SW 9.0 , SE 6.0 , SE 8.0 , SW 11.0 , SW 7.0 , SE 7.0 , SW 6.0 , SE 7.0 , SW 7.0 , PageChange NE 53.0 , SW 48.0 , SE 5.0 , SW 6.0 , SE 7.0 , SE 7.0 , SW 8.0 , SW 8.0 , SE 8.0 , SE 7.0 , NE 71.0 , SW 7.0 , SE 8.0 , SW 6.0 , SW 7.0 , SW 5.0 , SW 8.0 , SE 8.0 , SW 9.0 , PageChange SW 7.0 , SE 14.0 , NE 56.0 , SW 8.0 , SW 6.0 , SW 7.0 ,']"
5,385,"['SE 19.0 , SW 25.0 , NW 14.0 , PageChange SE 12.0 , SE 7.0 , PageChange NW 0.0 , SE 27.0 , SW 3.0 , PageChange SW 1.0 , SE 0.0 , SW 1.0 , NE 1.0 , PageChange PageChange PageChange SE 75.0 , PageChange NN 0.0 , PageChange']"
6,379,"['SE 8.0 , SE 8.0 , SW 12.0 , SE 17.0 , SW 11.0 , SE 9.0 , PageChange SW 11.0 , SE 17.0 , SW 18.0 , SE 12.0 , SW 16.0 , SE 17.0 , PageChange SW 9.0 , SE 10.0 , SW 26.0 , SE 10.0 , SS 8.0 , SW 16.0 , PageChange SE 10.0 , SS 16.0 , SE 9.0 , SW 8.0 , SW 17.0 , SE 8.0 , SW 9.0 , NW 36.0 , SE 16.0 , NE 17.0 , SW 12.0 , SE 12.0 , SE 9.0 , NW 64.0 , SE 21.0 , SW 23.0 , NE 12.0 , SE 31.0 , SW 13.0 , PageChange SE 16.0 , SW 9.0 , SW 9.0 , SE 10.0 , SW 20.0 , SE 11.0 , PageChange SE 42.0 , SE 10.0 , SW 13.0 , SE 15.0 , NW 9.0 , PageChange SW 11.0 , SE 11.0 , SE 10.0 , NW 8.0 , SW 18.0 , SW 16.0 , NW 62.0 , NW 10.0 , SE 17.0 , SE 9.0 , SE 9.0 , SW 11.0 , SW 11.0 , SW 8.0 , SE 11.0 , SE 7.0 , PageChange SW 8.0 , SE 20.0 , NW 7.0 , SW 17.0 , SE 12.0 , SW 9.0 , SW 10.0 , SE 21.0 , NW 51.0 , NW 8.0 , SE 19.0 , SE 9.0 , SW 28.0 , PageChange SE 11.0 , SW 8.0 , SW 10.0 , SW 25.0 , SE 10.0 , SE 46.0 , SE 6.0 , NW 10.0 , NE 10.0 , NN 9.0 , NW 11.0 , NE 10.0 , NE 16.0 , PageChange SE 8.0 , SW 10.0 , SE 7.0 , SE 10.0 , SW 9.0 , SW 10.0 , SE 9.0 , SE 10.0 , NE 83.0 , SE 10.0 , SW 11.0 , SW 11.0 , SE 9.0 , SE 11.0 , SW 9.0 , SW 10.0 , SE 10.0 , SW 9.0 , PageChange SE 9.0 , SW 27.0 , SW 9.0 , SE 20.0 , NW 10.0 , SE 27.0 , NW 11.0 , SE 59.0 , NE 8.0 , NE 9.0 , NW 14.0 , NE 9.0 , NE 9.0 , NW 11.0 , NE 9.0 , PageChange SE 16.0 , SW 10.0 , SW 8.0 , SW 10.0 , SE 16.0 , SW 10.0 , SE 11.0 , EE 56.0 , NW 11.0 , NE 7.0 , NE 10.0 , NE 8.0 , NW 10.0 , NE 10.0 , NW 8.0 , NE 7.0 , NW 8.0 , PageChange SE 16.0 , NW 8.0 , SE 17.0 , NE 45.0 , NE 11.0 , NW 8.0 , NE 9.0 ,']"
7,373,"['NE 8.0 , SW 14.0 , SE 7.0 , SW 8.0 , SW 8.0 , SE 9.0 , SW 8.0 , PageChange SW 10.0 , SS 6.0 , SE 8.0 , SW 6.0 , SE 7.0 , SW 7.0 , SE 8.0 , SW 8.0 , SE 11.0 , PageChange SW 14.0 , SW 8.0 , SE 10.0 , SW 7.0 , SW 8.0 , SE 12.0 , SE 11.0 , PageChange SW 7.0 , SW 6.0 , SW 8.0 , SE 11.0 , SW 8.0 , SE 7.0 , SW 8.0 , SW 13.0 , NE 9.0 , PageChange SW 8.0 , SW 7.0 , SW 7.0 , NE 18.0 , SW 13.0 , SE 15.0 , NE 41.0 , SW 7.0 , SW 14.0 , NE 7.0 , SE 13.0 , SW 7.0 , SW 8.0 , SE 16.0 , PageChange SW 6.0 , SW 8.0 , SE 6.0 , SW 8.0 , SW 8.0 , SE 10.0 , SW 8.0 , SE 8.0 , SW 9.0 , NE 51.0 , NE 6.0 , SW 14.0 , SW 8.0 , SE 11.0 , SW 8.0 , SW 8.0 , SE 12.0 , PageChange SW 12.0 , SE 8.0 , SW 7.0 , SW 7.0 , SE 10.0 , SW 6.0 , SW 13.0 , SE 9.0 , PageChange SW 7.0 , SW 7.0 , SE 7.0 , SW 8.0 , SE 9.0 , SE 12.0 , SW 7.0 , SE 8.0 , NE 50.0 , NE 8.0 , SW 17.0 , SE 7.0 , SW 7.0 , SE 10.0 , SW 7.0 , SE 7.0 , SW 9.0 , SE 9.0 , PageChange SW 8.0 , SW 7.0 , SE 8.0 , SW 7.0 , Nada SW 0.0 , SW 8.0 , SE 12.0 , SW 8.0 , PageChange SW 11.0 , SW 7.0 , SE 8.0 , SW 8.0 , SE 9.0 , SE 6.0 , SW 8.0 , NE 67.0 , SW 8.0 , SW 7.0 , SE 8.0 , SE 8.0 , SE 18.0 , PageChange SW 10.0 , SW 8.0 , SE 7.0 , SW 11.0 , SE 10.0 , SW 7.0 , SE 11.0 , SW 14.0 , NE 86.0 , SW 9.0 , SW 7.0 , SW 8.0 , NE 8.0 , SE 13.0 , SW 6.0 , SW 10.0 , SW 7.0 , SE 14.0 , SE 1.0 , SW 11.0 , PageChange SW 8.0 , SW 7.0 , SW 7.0 , SE 11.0 , SW 10.0 , SW 7.0 , SE 14.0 , SW 8.0 , SW 7.0 , NE 86.0 , SW 7.0 , SW 7.0 , SW 7.0 , SE 32.0 , SW 7.0 , PageChange SE 48.0 , PageChange']"
8,423,"['SE 8.0 , SE 12.0 , SW 8.0 , SE 7.0 , SE 13.0 , PageChange SE 7.0 , SW 8.0 , SE 6.0 , SW 8.0 , SE 7.0 , SW 8.0 , SE 7.0 , SW 8.0 , SE 9.0 , PageChange SE 7.0 , SW 7.0 , SW 13.0 , NE 8.0 , SE 12.0 , SW 7.0 , SE 8.0 , SW 7.0 , SE 7.0 , PageChange SE 8.0 , SW 7.0 , SE 7.0 , SW 7.0 , SW 11.0 , SE 9.0 , SW 7.0 , SE 7.0 , PageChange SE 8.0 , SW 7.0 , SE 7.0 , NW 13.0 , SE 17.0 , SE 7.0 , NN 16.0 , NW 27.0 , SE 7.0 , SW 7.0 , SE 7.0 , SW 7.0 , SE 8.0 , SW 9.0 , PageChange SE 7.0 , SW 8.0 , SE 8.0 , SW 8.0 , SE 7.0 , SW 7.0 , SW 13.0 , SE 9.0 , PageChange SE 8.0 , SW 8.0 , SE 8.0 , SW 11.0 , SW 9.0 , SE 9.0 , SW 7.0 , SE 7.0 , PageChange SE 7.0 , SW 9.0 , SE 8.0 , SW 7.0 , SE 8.0 , SW 8.0 , SW 12.0 , SE 9.0 , PageChange SE 11.0 , SE 8.0 , SW 7.0 , SE 10.0 , SW 6.0 , SE 8.0 , SW 7.0 , SE 7.0 , PageChange SE 8.0 , SW 10.0 , SE 7.0 , SW 8.0 , NW 1.0 , SE 8.0 , SW 9.0 , NE 2.0 , SW 16.0 , PageChange SE 19.0 , SW 7.0 , SE 7.0 , SW 9.0 , SE 8.0 , PageChange SE 7.0 , SW 7.0 , SE 7.0 , SW 8.0 , SE 7.0 , SW 7.0 , SE 7.0 , NE 67.0 , SW 7.0 , SE 7.0 , SE 12.0 , SW 7.0 , SE 8.0 , SW 4.0 , SE 8.0 , PageChange SE 7.0 , SW 8.0 , SE 9.0 , SW 8.0 , SE 6.0 , SW 7.0 , SE 7.0 , SW 7.0 , SE 7.0 , NE 71.0 , SE 8.0 , SW 7.0 , SE 8.0 , SW 8.0 , SE 7.0 , SW 8.0 , SE 7.0 , SW 7.0 , SE 9.0 , PageChange SE 8.0 , SW 8.0 , SE 6.0 , SW 8.0 , SE 8.0 , SW 7.0 , SE 6.0 , SW 8.0 , SE 8.0 , NE 72.0 , SE 11.0 , SE 19.0 , SE 12.0 , PageChange SE 7.0 , SW 7.0 , SE 7.0 , SW 7.0 , SE 8.0 , SW 7.0 , SE 8.0 , SW 9.0 , SE 8.0 , NE 73.0 , SE 8.0 , SW 8.0 , SW 13.0 , SE 8.0 , SW 7.0 , SE 8.0 , SW 6.0 , SE 7.0 , PageChange SE 8.0 , SW 13.0 , NE 51.0 , SE 9.0 , SW 8.0 , SE 8.0 ,']"
9,378,"['NW 19.0 , NE 14.0 , SW 47.0 , EE 9.0 , NE 78.0 , PageChange NE 57.0 , SE 16.0 ,']"
