user_id,scroll count,mouse movement count,click count,User Record Count,Total Time,Total Distance,validation,Min Score Value,Max Score Value,bf _votes_ 1 _count,bf _votes_ 5 _count,bf _votes_ 3 _count,bs _votes_ 3 _count,miq _votes_ 3 _count,pgi _votes_ 4 _count,bs _votes_ 1 _count,bs _votes_ 4 _count,bs _votes_ 5 _count,miq _votes_ 1 _count,miq _votes_ 2 _count,miq _votes_ 4 _count,miq _votes_ 5 _count,pgi _votes_ 1 _count,pgi _votes_ 2 _count,pgi _votes_ 3 _count,pgi _votes_ 5 _count,pgi _votes_ 7 _count,bf _votes_ 4 _count,bf _votes_ 2 _count,bs _votes_ 2 _count,pgi _votes_ 6 _count,measure_width_covered,measure_height_covered,movesleft,movesright,no_horizontal_movement,perc_left_movement,perc_right_movement,perc_no_movement_x,movesup,movesdown,no_vertical_movement,perc_upwward_movement,perc_downward_movement,perc_no_movement_y,system,Max Speed,Avg Speed,Sd Speed,displacement,displacement_time,speed,speed_times,acceleration,acceleration_times,traj_step_angles,traj_heading,length,net_displacement
365,11,4766,227,5005,245.8080001,62662.11836,0,1,5,8,10,24,4,66,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.72125,37.44767442,1427,1332,2245,28.51718625,26.61870504,44.86410871,1512,2620,872,30.21582734,52.35811351,17.42605915,pc,2835.32141,0.812243504,40.22550382,90.15338719,113.9621391,65.32763928,113.9621391,-8.869122849,113.9548289,80.84022378,65.45521878,16858.6834,463.0431945
371,1,3900,143,4044,185.388,41381.70812,1,1,7,42,0,0,0,18,2,2,1,1,9,16,16,7,71,2,3,2,4,0,0,0,0,15.65407447,22.56410256,1681,1557,805,41.57803611,38.51100668,19.91095721,1327,1950,766,32.82216176,48.23151125,18.94632698,pc,6285.067883,1.977682444,98.95335557,120.6787245,74.90201013,84.96490014,74.90201013,1.170424748,74.84429585,61.94677792,24.69571587,11826.515,359.7012649
373,34,5692,225,5951,200.144,67693.33705,0,1,7,0,7,16,1,26,16,0,1,1,0,5,28,7,1,22,9,17,8,14,5,1,11,34.55051245,43.2760989,2347,2175,1429,39.43874979,36.54847925,24.01277096,1719,2539,1693,28.88590153,42.6650983,28.44900017,pc,209.4078437,0.380698632,4.69370655,101.5968683,79.38886963,98.25564327,79.38886963,-25.81774833,79.38409944,53.39796855,69.7155044,16357.09579,84.07734534
374,32,4666,277,4975,249.9749999,115106.2271,1,3,6,0,8,14,1,18,20,0,2,1,0,0,33,15,0,0,0,35,0,20,0,0,29,58.97364568,63.38186813,1829,1546,1599,36.77121029,31.08162445,32.14716526,1626,2169,1179,32.68998794,43.60675513,23.70325694,pc,2809.11599,1.010814115,40.90722258,97.85355385,131.3643756,85.67169004,131.3643756,-2.192569068,131.3590331,62.28113076,58.62727166,17711.49325,432.0300915
375,69,3758,77,3904,577.872,37040.58555,0,1,5,0,3,10,1,12,0,0,1,0,1,47,5,1,0,56,23,5,0,10,19,2,0,54.23572474,59.56181319,1447,1459,998,37.06454918,37.37192623,25.56352459,1718,1476,710,44.00614754,37.80737705,18.18647541,pc,14.22201148,0.088153299,0.501496378,104.7497085,115.7046667,35.25979891,115.7046667,10.30185271,115.662,59.72742612,24.37632369,3142.491255,50.32891813
376,28,2138,47,2213,155.9889998,52034.53419,0,1,7,0,0,14,0,7,0,0,1,0,14,39,5,1,57,9,1,2,12,2,26,3,3,33.334375,36.26764706,904,903,405,40.86799277,40.82278481,18.30922242,1026,749,437,46.38336347,33.86075949,19.75587703,pc,1354.425686,1.343495174,29.0857385,81.13209987,60.17680955,14.33100574,60.17680955,1.03377633,60.01566669,55.28195686,30.53713584,1703.774097,105.5461984
377,44,6430,236,6710,453.514,100506.0469,0,1,7,8,5,9,1,16,31,1,1,0,10,18,15,7,3,3,8,28,3,9,11,1,8,57.63396779,61.92276423,2221,2750,1738,33.10478462,40.98971531,25.90550007,1904,3216,1589,28.37978834,47.93560888,23.68460277,pc,2911.319283,0.706326659,35.59697564,91.08740208,197.3888717,89.15866688,197.3888717,-5.104404485,197.3762995,56.14631602,42.95797239,17033.34419,450.3176657
378,164,1616,41,1821,190.949,26881.16712,0,1,7,1,15,3,0,3,5,0,3,1,0,0,44,19,0,0,0,7,27,22,1,0,45,60.25695461,55.08333333,689,721,411,37.83635365,39.59362987,22.57001647,749,659,413,41.13124657,36.18890719,22.67984624,pc,287.4875449,0.689000326,7.315343459,216.7020653,71.41155553,44.0622416,71.41155553,17.8667733,69.71566664,14.07188243,-8.258322807,1950.318588,371
379,196,6681,270,7147,292.684,144409.5001,1,3,6,0,0,12,1,20,7,0,3,0,0,0,46,0,0,0,0,40,0,30,0,0,37,108.171875,91.35094851,2286,2446,2415,31.98544844,34.22414999,33.79040157,2479,3409,1259,34.68588219,47.69833497,17.61578285,pc,295.154482,0.323970388,5.070656182,97.69646835,132.9429999,75.9963777,132.9429999,7.256695509,132.9391437,62.7775567,65.0170777,15631.43494,394.2892339
382,14,1426,226,1666,361.121,22507.27497,1,2,7,0,18,17,0,22,19,0,2,1,0,3,22,19,0,0,0,17,20,6,1,1,28,45.08504399,49.79395604,639,636,390,38.37837838,38.1981982,23.42342342,503,774,388,30.21021021,46.48648649,23.3033033,pc,884.2375582,0.774750112,21.72566583,108.0258508,198.6919348,84.2455796,198.6919348,8.868377281,198.686212,46.1874652,60.74120036,19876.75655,437.9794516
